number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
73,0.002456625737249851,20,0,180,150,10,0.00028214346097270776,1,16,0.7999999999999999,0.012796994708304744,COMPLETE
74,0.002323385203878085,30,0,180,150,10,0.0004134422300109292,1,16,0.7999999999999999,0.0112598738316638,COMPLETE
75,0.00037336109089665116,40,0,180,120,10,0.0009007063035068117,1,16,0.7999999999999999,0.011680423683714176,COMPLETE
76,0.01501818811520934,40,0,180,120,10,0.0009952946479114015,3,16,0.7999999999999999,0.014775522699496097,COMPLETE
77,0.00858099889010191,10,0,150,150,10,0.000742400686737331,1,16,0.75,0.017026328651945883,COMPLETE
78,0.005533410795032978,40,0.1,210,90,8,0.0006028864521906836,1,24,0.7999999999999999,0.010868840004250358,COMPLETE
79,0.0002521005808375776,30,0,180,120,10,0.00015406337192805933,1,16,0.75,0.016255919590206874,COMPLETE
80,0.015631403587758542,30,0,150,120,10,0.00015592831695787545,3,24,0.75,0.017779888275865033,COMPLETE
81,0.0012933116716643174,30,0,180,120,10,9.63646250792966e-05,1,16,0.75,0.01425804471118462,COMPLETE
82,0.00031540282846738893,30,0,180,120,10,0.00011986324283467595,1,16,0.75,0.01917856091007954,COMPLETE
83,0.0028468584176152946,40,0,180,120,10,0.0003703774721779828,1,16,0.75,0.016349278152129613,COMPLETE
84,0.0007015367116158207,30,0,180,120,10,0.0001850149138779769,1,16,0.75,0.012566685679401566,COMPLETE
85,5.340100615285337e-05,40,0,180,150,6,0.00022281228471180903,1,16,0.75,0.013441829894777928,COMPLETE
86,0.0020778685342520476,40,0,180,120,6,0.00022836739544169978,1,16,0.75,0.020764484899131137,COMPLETE
87,0.0018879467621445655,40,0.1,180,90,6,0.00016999229145218622,1,24,0.75,0.013532907161487605,COMPLETE
88,0.0016814287984743715,40,0,150,120,6,0.00013604411880370175,5,16,0.75,0.01551438426805111,COMPLETE
89,0.003696879791095853,40,0,180,90,6,0.0008175385073387883,1,16,0.75,0.010655356764492684,COMPLETE
90,0.002449763286858797,40,0,150,60,8,0.00020292169391132887,1,24,0.75,0.04319054815473277,COMPLETE
91,0.0008786141717185577,30,0,180,150,10,0.0002625703320567817,1,16,0.75,0.012948429651687507,COMPLETE
92,9.265271510230377e-05,40,0,180,150,10,0.00029721705079988503,1,16,0.75,0.014703397800858605,COMPLETE
93,0.001824549539014697,40,0,180,150,10,0.0003120900431374214,1,16,0.75,0.016144157773147153,COMPLETE
94,0.0017633247887715697,40,0,180,150,10,0.0002625323887954755,1,16,0.75,0.014793213996737742,COMPLETE
95,0.0004319145227782428,40,0,180,120,12,8.391134114673398e-05,1,16,0.75,0.01868864419637366,COMPLETE
96,0.00048147982452064755,40,0.1,180,120,10,0.0003104665977291014,1,16,0.75,0.01715412697811909,COMPLETE
97,0.001202763058245182,40,0,120,150,10,0.000467769217916229,3,24,0.75,0.013982122599915226,COMPLETE
98,0.0024757716292515396,50,0,180,120,10,0.00022182753442475292,1,16,0.75,0.012163480314565834,COMPLETE
99,0.0004310580436140299,40,0,150,150,8,0.0006961561602754568,1,16,0.75,0.01982783412292023,COMPLETE
100,0.002146112872287631,40,0,210,120,6,0.0005097083551795126,3,20,0.75,0.015856937678180954,COMPLETE
101,0.0004549351210395495,30,0,180,150,10,0.00037346872106098475,1,16,0.7999999999999999,0.014724533033061355,COMPLETE
102,0.0007120659652476509,30,0,180,150,10,0.0004333712476972922,1,16,0.75,0.011564366141322144,COMPLETE
103,0.00046951899130363015,40,0,180,150,10,0.0002857782705200158,1,16,0.7999999999999999,0.01367388924955005,COMPLETE
104,0.0007966935751028359,40,0,180,150,10,0.0008997333301508689,1,16,0.75,0.012944664943389828,COMPLETE
105,0.0006950298789888621,30,0,180,120,12,0.000628024972706919,1,16,0.75,0.010340768965340684,COMPLETE
106,0.0006773856784661802,40,0.1,180,150,10,0.0003430093480778434,1,16,0.7999999999999999,0.017475314465473565,COMPLETE
107,0.0020880071446299554,30,0,150,30,10,0.00040818267648127507,9,24,0.75,0.012214080376918209,COMPLETE
108,0.002680350001901388,40,0,180,120,10,0.000248236608090088,1,16,0.7999999999999999,0.011639219164678265,COMPLETE
109,0.00018501009326428176,40,0,180,120,10,0.00077424689090669,1,16,0.75,0.015179227471149696,COMPLETE
110,0.001334804599173367,40,0,150,120,12,0.0007380156117078392,1,24,0.75,0.018636708458585165,COMPLETE
111,0.0015808113617822527,40,0,180,120,10,0.0007965716444468473,1,16,0.75,0.015113327915018716,COMPLETE
